decade,profession,n,tag
Jan 1 1880,Computer Scientist,0,1880s
Jan 1 1890,Computer Scientist,5,1890s
Jan 1 1900,Computer Scientist,18,1900s
Jan 1 1910,Computer Scientist,31,1910s
Jan 1 1920,Computer Scientist,65,1920s
Jan 1 1930,Computer Scientist,64,1930s
Jan 1 1940,Computer Scientist,97,1940s
Jan 1 1950,Computer Scientist,71,1950s
Jan 1 1960,Computer Scientist,40,1960s
Jan 1 1970,Computer Scientist,15,1970s
Jan 1 1510,Astronomer,5,1510s
Jan 1 1520,Astronomer,4,1520s
Jan 1 1530,Astronomer,7,1530s
Jan 1 1540,Astronomer,4,1540s
Jan 1 1550,Astronomer,11,1550s
Jan 1 1560,Astronomer,9,1560s
Jan 1 1570,Astronomer,4,1570s
Jan 1 1580,Astronomer,13,1580s
Jan 1 1590,Astronomer,9,1590s
Jan 1 1600,Astronomer,9,1600s
Jan 1 1610,Astronomer,8,1610s
Jan 1 1620,Astronomer,8,1620s
Jan 1 1630,Astronomer,6,1630s
Jan 1 1640,Astronomer,7,1640s
Jan 1 1650,Astronomer,5,1650s
Jan 1 1660,Astronomer,2,1660s
Jan 1 1670,Astronomer,5,1670s
Jan 1 1680,Astronomer,8,1680s
Jan 1 1690,Astronomer,7,1690s
Jan 1 1700,Astronomer,8,1700s
Jan 1 1710,Astronomer,8,1710s
Jan 1 1720,Astronomer,5,1720s
Jan 1 1730,Astronomer,11,1730s
Jan 1 1740,Astronomer,7,1740s
Jan 1 1750,Astronomer,7,1750s
Jan 1 1760,Astronomer,7,1760s
Jan 1 1770,Astronomer,12,1770s
Jan 1 1780,Astronomer,9,1780s
Jan 1 1790,Astronomer,10,1790s
Jan 1 1800,Astronomer,11,1800s
Jan 1 1810,Astronomer,11,1810s
Jan 1 1820,Astronomer,11,1820s
Jan 1 1830,Astronomer,13,1830s
Jan 1 1840,Astronomer,8,1840s
Jan 1 1850,Astronomer,7,1850s
Jan 1 1860,Astronomer,13,1860s
Jan 1 1870,Astronomer,11,1870s
Jan 1 1880,Astronomer,7,1880s
Jan 1 1890,Astronomer,6,1890s
Jan 1 1900,Astronomer,8,1900s
Jan 1 1910,Astronomer,10,1910s
Jan 1 1920,Astronomer,8,1920s
Jan 1 1930,Astronomer,9,1930s
Jan 1 1940,Astronomer,7,1940s
Jan 1 1950,Astronomer,1,1950s
Jan 1 1960,Astronomer,3,1960s
Jan 1 1970,Astronomer,0,1970s
Jan 1 1510,Theologian ,3,1510s
Jan 1 1520,Theologian ,2,1520s
Jan 1 1530,Theologian ,1,1530s
Jan 1 1540,Theologian ,5,1540s
Jan 1 1550,Theologian ,4,1550s
Jan 1 1560,Theologian ,5,1560s
Jan 1 1570,Theologian ,4,1570s
Jan 1 1580,Theologian ,6,1580s
Jan 1 1590,Theologian ,2,1590s
Jan 1 1600,Theologian ,3,1600s
Jan 1 1610,Theologian ,6,1610s
Jan 1 1620,Theologian ,1,1620s
Jan 1 1630,Theologian ,3,1630s
Jan 1 1640,Theologian ,6,1640s
Jan 1 1650,Theologian ,5,1650s
Jan 1 1660,Theologian ,1,1660s
Jan 1 1670,Theologian ,0,1670s
Jan 1 1680,Theologian ,1,1680s
Jan 1 1690,Theologian ,2,1690s
Jan 1 1700,Theologian ,3,1700s
Jan 1 1710,Theologian ,2,1710s
Jan 1 1720,Theologian ,2,1720s
Jan 1 1730,Theologian ,3,1730s
Jan 1 1740,Theologian ,3,1740s
Jan 1 1750,Theologian ,2,1750s
Jan 1 1760,Theologian ,1,1760s
Jan 1 1770,Theologian ,1,1770s
Jan 1 1780,Theologian ,3,1780s
Jan 1 1790,Theologian ,2,1790s
Jan 1 1800,Theologian ,1,1800s
Jan 1 1810,Theologian ,6,1810s
Jan 1 1820,Theologian ,1,1820s
Jan 1 1830,Theologian ,2,1830s
Jan 1 1840,Theologian ,2,1840s
Jan 1 1850,Theologian ,0,1850s
Jan 1 1860,Theologian ,1,1860s
Jan 1 1870,Theologian ,3,1870s
Jan 1 1880,Theologian ,1,1880s
Jan 1 1890,Theologian ,0,1890s
Jan 1 1900,Theologian ,0,1900s
Jan 1 1910,Theologian ,0,1910s
Jan 1 1920,Theologian ,2,1920s
Jan 1 1930,Theologian ,2,1930s
Jan 1 1940,Theologian ,0,1940s
Jan 1 1950,Theologian ,1,1950s
Jan 1 1960,Theologian ,1,1960s
Jan 1 1970,Theologian ,0,1970s
Jan 1 1510,Humanities Related,2,1510s
Jan 1 1520,Humanities Related,4,1520s
Jan 1 1530,Humanities Related,1,1530s
Jan 1 1540,Humanities Related,8,1540s
